기능,구분,code,type,severity,대상,component,조건,message,영향,권장 조치,근거
공통,알람,A-PRC-009,cert_expiring,warning,,cert,TLS/mTLS 인증서·키 자재 만료 임박/회전 실패,Certificate {name} expires in {days} days (threshold {threshold} days) or rotation failed,만료 시 접속·상호인증 전면 실패 예고,인증서 재발급/회전 경로 점검,X.509 운영 관례
공통,알람,A-PRC-010,observability_lost,major,,fm,알람/이벤트 자기보고·관측 파이프라인 공백(보고 두절·수집 불능·카탈로그 무력화),Observability lost: {detail} — alarm/event reporting pipeline is silent,"""알람 없음""이 ""감지 불능""을 의미하게 됨",보고 경로/수집기 상태 확인 — 침묵을 정상으로 오인 금지,X.733
공통,알람,A-QOS-004,overload,major,,overload,과부하 방어(유입 차단/강등) 발동,Overload protection active: {rejected} requests rejected in last {window}s,신규 요청 일부 거절 중 — 용량 초과 유입,유입 원인 확인·용량/제한값 조정,vIBCF A0057
공통,알람,A-QOS-005,resource_exhausted,major,,queue/<name>,프로세스 내부 큐 포화·drop 지속,Internal queue {queue} saturated: {dropped} dropped ({used}/{size}),메시지/작업 유실 진행 중,소비 지연 원인(I/O·하류 시스템) 확인,vIBCF A0030·A0089
공통,알람,A-COM-001,connection_lost,critical,DB,db,서비스 DB 연결 두절,"DB connection lost (host={host}, port={port}, db={db})",DB 의존 기능 전면 저하(가입자/설정/이력),연결성·DB 서버·인증 확인,vIBCF A0003(연결 축)
공통,알람,A-QOS-023,threshold_crossed,warning,,ha/<svc>,keepalived(VIP) 상태 전이 빈도 임계 — VIP flap 의심(전이 개별 건은 이벤트),HA transitions for {svc}: {count} in last 10min (threshold {threshold}),VIP 반복 이동 — 해당 서비스 간헐 단절,헬스체크 포트/모듈 상태·keepalived notify 로그 점검,vIBCF A0063 / X.733
공통,알람,A-COM-015,connection_lost,critical,AGENT,agent,관리 에이전트(노드) 관측 두절 — heartbeat/metric 무수신,Agent on {node} unreachable — node observation lost,노드 관측 불능 — 그 노드의 L1 알람은 판정 불가(두절을 정상 해소로 위장하지 않기 위한 별도 알람 — 파이프라인 §9),노드 전원/네트워크/agent 프로세스 확인,X.733 / 파이프라인 §9
공통,알람,A-PRC-021,listener_unavailable,minor,,monitor,운영 조회(monitor) 접속점 개설 실패 — 모듈 공통 운영 인터페이스(상태/세션 조회) 영구 불가,Monitor listener unavailable: {port} ({error}),운영 조회·진단 불가(서비스 영향 없음),포트 점유/설정 확인,X.733
공통,알람,A-PRC-022,storage_failure,major,DB,db/query,DB 쿼리 지속 실패(권한/스키마/락 — 연결 probe 는 정상),"DB queries failing ({error}, {count} consecutive) — connection alive",연결 알람 없이 DB 의존 기능 실질 실패(A-COM-001 상보),권한/스키마/락 원인 확인,X.733
공통,알람,A-QOS-028,threshold_crossed,minor,,host/iface/<name>,NIC 오류 카운터(rx/tx errors) 증가율 임계,NIC {iface} error rate is {observed}/s (threshold {threshold}),전송 품질 저하 진행(케이블/드라이버/스위치 이상),링크/드라이버/스위치 포트 점검 — 인터페이스마다 개별 발화,X.733
공통,알람,A-QOS-029,threshold_crossed,minor~major(단계),,proc/<module>,모듈 프로세스 자원(CPU/RSS) 단계 임계 — 호스트 축(A-QOS-001)과 별개,"Process {module} resource usage: {metric} {observed} (MAJ:{maj}, MIN:{min})",해당 모듈 처리 지연·OOM kill 전조,원인(누수/부하) 확인 — 모듈마다 개별 발화,X.733
공통,이벤트,E-STC-001,lifecycle,-,,,event=process_started. 기능 프로세스 기동 완료,Process {module} started on {node} (version {version}),,,X.731
공통,이벤트,E-STC-002,lifecycle,-,,,event=process_stopping. graceful 종료 시작,Process {module} stopping (graceful shutdown initiated),,,X.731
공통,이벤트,E-STC-009,lifecycle,-,,,event=process_died. 프로세스 소멸 전이 관측 — SIGKILL 등 자기보고(process_stopping) 유실 종료의 보완(L1 관측),Process {module} died on {node} (termination observed),,,X.731
공통,이벤트,E-STC-008,config_changed,-,,,"event=config_reloaded. 설정 재적재 완료(반영 범위, 건수) — 시스템 반영(actor 없음, kind=stateChange)",Configuration reloaded: {scope} ({count} entries applied),,,X.730
공통,이벤트,E-STC-003,ha_transition,-,,,"event=ha_role_changed. HA 역할 전이(active↔standby, from/to)",HA role changed: {from} -> {to} (service {svc}),,,vIBCF S3003
공통,이벤트,E-STC-004,ha_transition,-,,,"event=ha_switchover. 절체 사건(group, from, to) + 계획 절체 실패",HA switchover on group {group}: {from} -> {to} ({result}),,,vIBCF S3001~3
공통,이벤트,E-AUD-002,admin_action,-,,,event=node_maintenance. 운영 개입 전이(수동 차단/정지/해제·HA 판정 얼림),Node maintenance {action} on {node} by {actor},,,vIBCF A0023
공통,이벤트,E-AUD-003,admin_action,-,,,"event=service_control. 기동/정지/재기동 제어 감사(actor, ip)",Service {module} {action} by {actor} from {ip},,,X.740
공통,이벤트,E-AUD-004,security_audit,-,,,"event=auth_audit. 관리 접근 감사(로그인 실패, 권한 거부)",Auth audit: {action} for user {user} from {ip} ({result}),,,X.740
CSCF,알람,A-COM-002,connection_lost,critical,CSC,csc,가입자 원천(CSC — HSS 역할/가입자 DB) 연결 두절,"Subscriber source (CSC) connection lost (host={host}, port={port})",신규 등록·인증·프로파일 조회 전면 실패,원천 연결성/서버 상태 확인·폴백 모드 여부 확인,TS 24.229(HSS 상당) / vIBCF A0061
CSCF,알람,A-PRC-011,storage_failure,major,DB,db/reload,가입자/프로파일 재적재 실패 지속(연결은 정상),Subscriber/profile reload from DB failing ({error}; last success {last_ok}),stale 데이터로 서비스 — 프로비저닝 미반영,쿼리 실패 원인(권한/스키마) 확인·수동 재동기,TS 24.229(HSS 상당)
CSCF,알람,A-PRC-012,listener_unavailable,major,,listener/<proto:port>,SIP 접속점(UDP/TCP/TLS) 개설 실패·TLS 인증서 로드 실패 — 접속점 단위 격리 발화(다른 접속점은 서비스 지속),SIP listener unavailable: {proto}:{port} ({error}),해당 접속점 수용 불가(일부 단말/대국 접속 단절),포트 점유/인증서/설정 확인 — 접속점마다 개별 발화,TS 24.229
CSCF,알람,A-COM-003,connection_lost,major,PEER,peer/<node>,인접 노드(타 CSCF/트렁크/게이트웨이) keepalive(OPTIONS) 무응답,Peer {peer} unreachable: OPTIONS keepalive timeout ({fails} consecutive),해당 경로 호 소통 불가 — 죽은 경로로 라우팅 지속 위험,대국 상태/네트워크 확인·라우팅 우회 확인,vIBCF A0061·F400E·타입80
CSCF,알람,A-COM-004,connection_lost,major,DNS,dns,DNS/ENUM 해석 기능 상실 — 리졸버 무응답·해석 실패 지속(원인 불문),"DNS/ENUM resolution failing (server={server}, {fails} consecutive)",도메인 기반 라우팅·번호 변환 불가,리졸버/DNS 서버 상태 확인,TS 24.229
CSCF,알람,A-QOS-006,threshold_crossed,minor~critical(단계),,calls/success_rate,호 성공률 하한 단계 임계 — 최종 응답 코드별 카운터 기반(로컬 타임아웃 합성 응답 포함 필수),"Call success rate is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",다수 호 실패 진행 중 — 원인 불문 서비스 품질 저하,실패 응답 코드 분포·flow 로그로 원인 축 식별,vIBCF A0075~77
CSCF,알람,A-QOS-007,threshold_crossed,minor~critical(단계),,reg/success_rate,등록 성공률 하한/등록 실패 급증,"Registration success rate is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",단말 대량 이탈·착신 불가 확산,인증 실패/원천 장애/네트워크 축 구분,vIBCF A0075 준용(REGISTER 축)
CSCF,알람,A-QOS-008,threshold_crossed,minor~critical(단계),,sessions,동시 세션 사용률 단계 임계(수용 상한 대비),"Concurrent session usage is {observed}% of limit {max} (CRI:{crit}, MAJ:{maj}, MIN:{min})",상한 도달 시 신규 호 전면 거절,유입 조절·용량 증설·상한 재산정,vIBCF A0059
CSCF,알람,A-QOS-009,threshold_crossed,minor~critical(단계),,cps,신호 유입 rate(CPS) 단계 임계,"Signaling inflow is {observed} CPS (CRI:{crit}, MAJ:{maj}, MIN:{min})",처리 지연·과부하 진입 전조,유입원 확인·과부하 제어 준비,vIBCF A0058
CSCF,알람,A-QOS-010,resource_exhausted,major,,dialogs,다이얼로그/트랜잭션 자원 고갈,Dialog/transaction resources exhausted ({used}/{max}),신규 호 수용 불가,세션 누수/폭주 원인 확인,vIBCF F4009·F400A
CSCF,알람,A-QOS-011,threshold_crossed,minor,,sip/rx_error,SIP 수신 이상(파싱 실패·규격 위반) 급증 — 경계(IBCF) 접속점 포함,SIP receive errors surging: {count} malformed/invalid messages in {window}s (top source {ip}),피어 오동작/공격/호환성 문제 진행,소스 IP 분포 확인·차단/억제 검토,vIBCF A0081·F4002
CSCF,알람,A-SEC-001,security_violation,major,,auth,인증 실패 급증(크리덴셜 스터핑/무차별 대입 의심),Authentication failure surge: {count} failures in {window}s (top source {ip}),계정 탈취 시도 진행 가능,소스 분포 확인·차단·계정 보호,X.736
CSCF,알람,A-PRC-020,listener_unavailable,major,CSC,csc_if,가입자/그룹 변경 통지 수신 접속점(UDP) 개설 실패,Subscriber-notify listener unavailable: {port} ({error}),프로비저닝 변경이 시그널링에 미반영(stale 데이터로 서비스),포트 점유/설정 확인,TS 24.229(HSS 상당)
CSCF,알람,A-PRC-023,storage_failure,major,,state_files,실시간 가입자/호 상태 파일 기록 실패,Realtime state file writes failing ({path}: {errno}),콘솔 실시간 현황 정지(호 처리는 정상 — 무성 관측 공백),상태 파일 볼륨/권한 확인,X.733
CSCF,알람,A-COM-017,connection_lost,minor,REDIS,redis,등록 상태 복제 저장소(Redis) 연결 두절 — HA 등록 인계 불능(cold-mode 강등),"Registration replication store (Redis) connection lost (host={host}, port={port})",절체 시 등록 상태 미인계(재등록 강제),Redis 서버/인증/네트워크 확인,X.733
CSCF,이벤트,E-AUD-005,config_changed,-,,,"event=listener_changed. SIP 접속점 추가/제거(proto, port) — 무중단 변경",SIP listener {action}: {proto}:{port},,,X.740
CSCF,이벤트,E-AUD-006,config_changed,-,,,event=subscriber_config_changed. 가입자/그룹 설정 변경 반영(원천 통지 기인),"Subscriber/group configuration updated ({entity}, {count} entries)",,,X.740
CSCF,이벤트,E-STC-005,mode_transition,-,,,event=db_fallback_changed. 원천 장애로 폴백 모드 진입/해제,DB fallback mode {action} ({reason}),,,X.731
IBCF,알람,A-COM-005,connection_lost,critical,PEER,peer/<ic>,상호접속 대국(타 사업자 IBCF/MSS) keepalive(OPTIONS) 무응답,Interconnect peer {peer} unreachable: OPTIONS keepalive timeout — NNI route down,해당 NNI 경로 전면 불통 — 사업자간 소통 단절,대국사 확인·경로 우회·차단 여부 확인 — 대국마다 개별 발화,TS 29.165 / vIBCF A0061
IBCF,알람,A-QOS-012,threshold_crossed,minor~critical(단계),PEER,peer/<ic>/success_rate,대국별 호 성공률/응답률 하한,"Call success rate toward peer {peer} is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",특정 대국 방향 품질 저하 — 대국 측 이상 조기 검출,대국별 실패 코드 분포 확인·대국사 통보,vIBCF A0075~77
IBCF,알람,A-QOS-013,threshold_crossed,minor~major(단계),PEER,peer/<ic>/reason/<code>,대국별 특정 실패 응답(503/486/408 등) 급증,"Failure response {code} toward peer {peer} surging: {count} in {window}s (MAJ:{maj}, MIN:{min})",특정 실패 모드 진행(대국 과부하·번호 오류 등),해당 reason 의 호 이력/추적으로 원인 규명,vIBCF A0084
IBCF,알람,A-QOS-014,threshold_crossed,minor~major(단계),PEER,peer/<ic>/rtt,대국별 신호 RTT 임계,Signaling RTT to peer {peer} is {observed}ms (threshold {threshold}ms),경로 지연 — 체감 품질 저하·타임아웃 전조,전송망 상태 확인,vIBCF A0083
IBCF,알람,A-COM-006,connection_lost,critical,CMP,cmp,경계 미디어 릴레이(CMP — TrGW 역할) 제어 두절 — CSP 동거 배치에서는 A-COM-007 로 수렴 발화(수록 원칙 참조),Border media relay (CMP) control lost (endpoint {ep}),경계 호 미디어 수립 전면 불가,릴레이 프로세스/제어 채널 확인,TS 29.165(Ix)
IBCF,알람,A-SEC-002,security_violation,major,,fraud,사기 호/스캐너/비인가 트래픽 탐지 급증(경계 특성),Fraud/scanner traffic detected: {count} suspicious requests in {window}s (top source {ip}),부정 사용(toll fraud)·자원 잠식 진행 가능,소스 차단·패턴 갱신·유입 경로 확인,X.736
IBCF,이벤트,E-AUD-007,admin_action,-,PEER,,event=peer_blocked. 대국 수동 차단/해제(Manual Block) — 운영 개입 감사,Peer {peer} manually {action} by {actor},,,vIBCF A0023
IBCF,이벤트,E-STC-006,availability_transition,-,PEER,,event=peer_state_changed. 대국 가용 상태 전이(alive↔dead),Peer {peer} state changed: {from} -> {to},,,X.731
TAS,알람,A-PRC-013,storage_failure,critical,,cdr,CDR(호 이력) 기록 실패 지속,"CDR write failures persist on {path} ({errno}, {count} records affected)",호 이력 유실 — 정산/분쟁 대응 근거 상실·법적 문제,호 이력 볼륨/기록 경로 확인·유실 구간 산정,vIBCF A0090
TAS,알람,A-COM-007,connection_lost,major~critical,CMP,cmp,미디어서버(CMP — MRF 역할) 제어 두절(안내방송/녹취/컨퍼런스용) — CSP 동거 배치의 CMP 두절 수렴 발화 대표 정의(A-COM-006/A-COM-008 흡수: 전체 두절 critical·endpoint 단위 major),Media plane (CMP) control lost — media setup/announcement/recording/floor control unavailable,미디어 의존 기능 전면 불가 — 경계 미디어·안내방송/녹취/컨퍼런스·그룹콜 발언권 제어(IBCF/TAS/PTT-AS 역할 합집합),CMP 프로세스/제어 채널 상태 확인,TS 23.333(MRF 상당)
TAS,알람,A-QOS-015,threshold_crossed,minor~major(단계),,svc/failure_rate,부가서비스 로직 실행 실패율 임계(전환·착신전환·발신제한 등 적용 실패),"Supplementary service failure rate is {observed}% (service {svc}, MAJ:{maj}, MIN:{min})",가입자 체감 기능 오동작 확산,실패 서비스 유형 분포·설정/원천 데이터 확인,TS 24.229(AS)
TAS,알람,A-PRC-019,listener_unavailable,critical,,media_ctrl/<plane>,미디어평면 제어 접속점(CMP/CMDP 제어 소켓) 개설 실패 — 두절 판정(A-COM-007 계열) 이전 단계의 자기 결함,Media-plane control socket unavailable: {plane} ({error}),미디어 제어 전면 불가 + 두절 감시 자체 미기동(침묵 위험) — 평면(cmp/cmdp)마다 개별 발화,소켓/포트 점유·설정 확인 후 재기동,X.733
TAS,이벤트,E-AUD-008,config_changed,-,,,event=service_config_changed. 부가서비스 설정 변경 감사,Supplementary service configuration changed ({service}) by {actor},,,X.740
PTT-AS,알람,A-COM-008,connection_lost,critical,CMP,cmp,미디어평면(CMP — floor 제어 담당) 두절 — CSP 동거 배치에서는 A-COM-007 로 수렴 발화(수록 원칙 참조),Media plane (CMP) lost — floor control unavailable (endpoint {ep}),그룹콜·발언권 제어 전면 불가,미디어평면 상태/제어 채널 확인,TS 23.379
PTT-AS,알람,A-COM-009,connection_lost,major,CSC,csc/<svc>,그룹/설정/신원 관리 서버(GMS/CMS/IdMS) 연동 두절,Management server {svc} (CSC) connection lost (host={host}),프로비저닝·affiliation·인증 갱신 정지,관리 서버 상태 확인 — 서버마다 개별 발화,TS 23.379
PTT-AS,알람,A-PRC-014,state_out_of_sync,major,CMP,group_ctx/<gid>,그룹 컨텍스트(정원·우선순위·로스터) 미디어평면 정합 실패 지속,Group context sync with media plane failing (group {gid}),통화는 되나 정책이 옛 값인 무성 장애,재수립 실패 원인 확인·수동 재동기 — 그룹마다 개별 발화,TS 24.380
PTT-AS,알람,A-COM-010,delivery_failed,major,,floor/<gid>,floor 제어 메시지 전달 실패 지속(암호화 실패 포함),"Floor control message delivery failing (group {gid}, {count} consecutive, {reason})",그룹 발언권 마비(미디어는 지속될 수 있음),키/암호화 컨텍스트·전달 경로 확인,TS 24.380
PTT-AS,알람,A-QOS-016,threshold_crossed,minor~critical(단계),,group/setup_success_rate,그룹콜 수립 성공률 하한,"Group call setup success rate is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",그룹 통신 품질 저하 확산,실패 단계(시그널링/미디어/floor) 구분,vIBCF A0075 준용
PTT-AS,알람,A-QOS-017,threshold_crossed,critical,,emergency,긴급/임박위험 호 처리 실패 발생(낮은 임계 — 소수 건도 즉시),Emergency call handling failed: {count} emergency/imminent-peril calls failed in {window}s,인명 직결 기능 실패 — 최우선 대응,실패 호 즉시 추적·우선처리 경로 점검,TS 23.379(우선 처리)
PTT-AS,알람,A-QOS-018,resource_exhausted,major,,affiliation,affiliation/그룹 수용 한계 도달,Affiliation/group capacity reached ({used}/{max}),신규 그룹 가입/활성화 거절,수용 상한·부하 분산 확인,TS 24.379
PTT-AS,알람,A-PRC-015,cert_expiring,warning,,kms,보안키(KMS) 자재 만료 임박/획득 실패,KMS key material expires in {days} days or acquisition failed,암호화 그룹 통신 불능 예고,키 갱신 경로/KMS 연동 확인,TS 33.180
PTT-AS,알람,A-COM-016,connection_lost,major,CMDP,cmdp,MCData 미디어평면(CMDP) 두절 — 대용량 SDS/FD 전면 실패,"MCData media plane (CMDP) connection lost (host={host}, port={port})",대용량 SDS(MSRP)·FD 수발신 전면 실패,CMDP 프로세스/제어 채널 확인,TS 23.282
PTT-AS,알람,A-PRC-024,storage_failure,major,,group_dir,그룹 정본 파일 적재 실패(DB fallback 모드),Group directory load failing ({path}: {error}),그룹 서비스 전면 불가(fallback 모드에서 정본 상실),그룹 파일 디렉터리/권한 확인,TS 24.481
PTT-AS,이벤트,E-STC-007,mode_transition,-,,,"event=emergency_mode_changed. 그룹/사용자 긴급 모드 진입/해제(gid, uri)","Emergency mode {action} (group {gid}, user {uri})",,,TS 23.379
PTT-AS,이벤트,E-AUD-009,config_changed,-,,,event=affiliation_changed. 그룹 affiliation 변경 반영,"Affiliation updated (group {gid}, {count} members)",,,TS 24.379
PTT-AS,이벤트,E-AUD-010,config_changed,-,,,event=regroup_changed. ad-hoc/regroup 생성·해제,"Regroup {action} (group {gid}, {scope})",,,TS 23.379
MRF,알람,A-QOS-002,resource_exhausted,major,,<pool>,미디어 자원 풀(포트/floor/멤버 유닛) 완전 고갈,Media resource pool {pool} exhausted ({used}/{total}) — new allocations rejected,신규 배정 불가(NO_RESOURCE) — 풀마다 개별 발화,점유 원인(누수/폭주) 확인·용량 증설,vIBCF F5011·타입40
MRF,알람,A-QOS-024,threshold_crossed,minor~critical(단계),,rtp_ports,미디어 포트 풀 사용률 단계 임계 — 노드별 발화(완전 고갈 A-QOS-002 의 전 단계 경보),"RTP port usage is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",포트 고갈 임박 — 신규 미디어 세션 실패 위험,동시 세션/누수 점검·포트 풀 증설,vIBCF A0012~14 준용
MRF,알람,A-QOS-019,capacity_degraded,major,,<pool>,설정 대비 실효 용량 미달(bind/초기화 부분 실패),Effective capacity of pool {pool} below configured ({effective}/{configured}) due to bind/init failures,외견상 여유인데 실수용량 축소,실패 자원 재개설·설정/충돌 확인,X.733
MRF,알람,A-COM-011,connection_lost,major,CSP,csp,제어 주체(CSP — AS/CSCF 역할) 제어 채널 무통신,Controller (CSP) channel silent: no control traffic for {secs}s,제어/통지 단절 — 신규 세션 수립 불가,제어 채널·상대 프로세스 확인,vIBCF F500A
MRF,알람,A-COM-012,delivery_failed,major,CSP,csp/events,제어 주체(CSP)로의 이벤트 통지 적체/유실 지속,"Event delivery to controller (CSP) backlogged: {pending} pending, {dropped} dropped",미디어 사건이 호 제어에 미반영,적체 원인(ack 유실·상대 미학습) 확인,vIBCF F500C~E(지속 축)
MRF,알람,A-QOS-020,resource_leak,minor,,sessions,고아 세션 누적/강제 회수 지속,Orphan sessions accumulating: {count} force-reclaimed in {window},제어 정합 이상 신호 — 자원 서서히 잠식,제어 주체 장애/유실 이벤트 여부 확인,vIBCF F5005
MRF,알람,A-PRC-016,state_out_of_sync,major,CSP,sessions/sync,제어 주체(CSP)와 세션 집합 불일치 지속(재조정 불능),"Session set out of sync with controller (CSP): {orphans} orphans, reconcile failing",orphan 누적·포트 잠식·호 이력 왜곡,재조정(reconcile) 실패 원인 확인,vIBCF F5006
MRF,알람,A-QOS-021,threshold_crossed,minor~major(단계),,media/no_flow,활성 세션 중 미디어 무흐름 비율 임계,"No-media sessions at {observed}% of active sessions (MAJ:{maj}, MIN:{min})",NAT/방화벽/경로 문제로 무음 호 확산,미디어 경로·latch 상태 확인,vIBCF F5008·A0078
MRF,알람,A-QOS-022,threshold_crossed,minor~major(단계),,media/quality,미디어 품질(패킷 손실/지터) 임계,"Media quality degraded: {metric} is {observed}{unit} (MAJ:{maj}, MIN:{min})",체감 품질 저하 확산,전송망/부하 상태 확인,RFC 3550(RTCP) / vIBCF A0079
MRF,알람,A-PRC-017,storage_failure,critical,,record,녹취 저장 실패 지속,Recording write failures persist on {path} ({errno}),법적 보존 의무 유실,녹취 볼륨/마운트/권한 확인·유실 구간 산정,X.733
MRF,알람,A-PRC-002,storage_failure,major,,fd_store,메시지 미디어(FD/파일) 스토어 저장·접근 실패,"FD/file store write or access failure ({path}, {errno})",MCData 수신분 유실,스토어 볼륨/마운트 확인,TS 23.282
MRF,알람,A-COM-013,delivery_failed,major,,floor_tx,floor/SRTCP 송신 실패 지속(키/암호화 오류),"Floor/SRTCP transmit failures persist (group {gid}, {reason})",암호화 그룹의 floor 제어 전면 불능,키 자재/암호화 컨텍스트 확인,TS 24.380
MRF,알람,A-PRC-018,worker_unavailable,critical,,worker/<name>,미디어 리액터/제어 루프/타이머 실행 단위 정지,Worker {name} stalled: no heartbeat for {secs}s — relay/control loop stopped,포트는 살아있는데 무중계·무제어(외부 무증상),해당 실행 단위 재기동(프로세스 재기동),X.733
MRF,알람,A-QOS-025,resource_exhausted,minor,,slots/<gid>,발언 슬롯 상한 초과(멤버 수 > 슬롯) — 상향 SSRC 슬롯 충돌 지속,Talker slots exceeded on group {gid} ({members}/{slots}) — SSRC slot collision,수신 단말이 동시 송신자 구분 불가·녹취 트랙 오염,그룹 정원/슬롯 상한 조정 — 그룹마다 개별 발화,TS 24.380
MRF,알람,A-QOS-026,resource_exhausted,major,,fds,접속 수용 실패 지속(fd 고갈 — EMFILE/ENFILE),MSRP accept failing: fd exhausted ({count} in {window}s),신규 미디어 접속 전면 불가(+hot spin CPU 포화 동반),fd 상한/누수 확인·프로세스 재기동,TS 23.282 / X.733
MRF,이벤트,E-AUD-011,corrective_action,-,,,event=session_reclaimed. 세션 강제 회수(운영자 모르게 미디어 절단되는 동작의 감사),Session {sid} force-reclaimed ({reason}),,,X.740
MRF,이벤트,E-AUD-012,config_changed,-,,,event=resource_config_changed. 미디어 자원 구성 변경(endpoint/풀 증감),Media resource configuration changed ({detail}),,,X.740
MRF,이벤트,E-STC-010,availability_transition,-,CSP,,event=csp_control_peer_changed. 제어 피어(CSP) 소스 변경 관측(재기동/절체),Control peer (CSP) changed: {old} -> {new},,,X.731
CSC,알람,A-PRC-025,listener_unavailable,critical,,http/<port>,가입자/MCPTT API HTTP 접속점 불능(개설 실패·수신 스레드 사망 — 프로세스는 생존),CSC HTTP listener unavailable: {port} ({error}),IdMS/GMS/CMS/XCAP·프로비저닝 API 전면 불가,포트 점유/기동 로그 확인 — 접속점마다 개별 발화,TS 24.482/24.481(IdMS/GMS 상당)
CSC,알람,A-COM-018,delivery_failed,major,CSP,notify/<target>,가입자/그룹 변경 통지(notify) 미도달 지속,Change-notify delivery to {target} failing ({count} consecutive),변경이 시그널링(CSP)에 미반영 — stale 운영(무성 장애),대상 도달성/포트 확인 — 대상마다 개별 발화,TS 24.229(HSS 상당 통지)
CSC,알람,A-PRC-026,storage_failure,major,,idms_store,IdMS 토큰/코드 스토어 기록 실패,IdMS store writes failing ({path}: {error}),토큰 발급 외견 성공·refresh 전량 실패(로그인 반복 강제)·회수 실패 시 구 토큰 잔존(보안),스토어 볼륨/권한 확인,TS 24.482
CSC,알람,A-QOS-027,resource_leak,minor,,idms_store/entries,IdMS 토큰/코드 스토어 무한 증식(만료분 미회수),IdMS store growing unbounded ({entries} entries),디스크/조회 성능 점진 잠식,만료 엔트리 정리(GC) 실행·주기화,TS 24.482
CSC,알람,A-PRC-027,storage_failure,major,,file_store,가입자/그룹 파일 스토어 기록 실패(그룹 JSON·FD 업로드),File store writes failing ({path}: {error}),그룹 정본 파일 미갱신(CSP fallback 오염)·FD 업로드 실패,스토어 볼륨/권한 확인,TS 24.481 / TS 23.282
CSC,이벤트,E-AUD-013,corrective_action,-,CSP,,event=csp_resync_sent. 기동 시 CSP 전량 재동기 요청(CSC_RESTART) 발신,Full resync requested to CSP ({reason}),,,X.740
관리,알람,A-PRC-028,storage_failure,major~critical,,store,공유 스토리지(NAS) 접근 실패(마운트 소실·쓰기 불가),Shared store access failing ({reason}),관리평면 정본 저장 불능 — HA 승격 부적격·배포/알람 보관 정지,마운트/NAS/권한 확인 — 노드(agent)와 OAM 양쪽에서 감지,X.733
