구분,code,type,severity,source_system,instance,index,대상,알람/이벤트 내용,현재 구현 여부,감지 방식 설명
알람,(신규),listener_unavailable,critical,SUB_SVR_01,CSC,1,,HTTP 리스너(4421/4430) 사망 — 프로세스는 생존·기동 로그는 거짓 성공,후보,"uvicorn bind 실패 시 서버 스레드만 죽고 start() 는 성공 반환(httpsrv/server.py:47-58 — _ready_event 가 serve await 전에 set). 리스너별 개별 발화. start() 반환값화 + 스레드 생존 감시"
알람,CIMS-COM-001,connection_lost,major,SUB_SVR_01,CSC,1,CSP_01,CSP/PSP UDP notify 미도달 지속 — 가입자/그룹 변경이 시그널링에 미반영(무성 장애),후보,"_send_notify 가 target 별 도달 여부를 이미 bool 관측(mcptt.py:497-526, :601-626) — 연속 실패 카운터 추가. close 확보는 10s STATS_REQUEST keepalive 신설(CSP 무수정 — CscInterface 가 이미 응답). target(csp/psp)별 개별 발화"
알람,CIMS-PRC-002,resource_failure,major,SUB_SVR_01,CSC,1,,service_log(flow/msg) 쓰기 실패 — 완전 silent,후보,"_flush_batch 가 except pass(logger.py:57-68), 큐 상한 20만 drop 카운터 소비자 0 — params 병합. writer 단일 지점 연속 실패 전이"
알람,CIMS-PRC-002,resource_failure,major,SUB_SVR_01,CSC,1,DB,DB 쿼리 지속 실패(권한/스키마/락) — 연결 probe 는 정상,후보,"probe(ping)가 못 잡는 구간 — COM-001 상보. _get_db 2곳(admin.py:32, org.py:23) 단일화 + 연속 실패 카운터"
알람,CIMS-PRC-002,resource_failure,major,SUB_SVR_01,CSC,1,,IdMS 스토어(auth_code/refresh_token) 쓰기 실패 — 토큰 발급은 200 인데 refresh 전량 실패,후보,"save_* 가 bool 반환 기성인데 호출부가 무시(idms_storage.py:39-48, :101-110 / mcptt.py:831, :1263) — 카운터만 추가"
알람,CIMS-PRC-002,resource_failure,major,SUB_SVR_01,CSC,1,,가입자/그룹 파일 스토어 쓰기 실패(csp/Group JSON·MCData FD 업로드),후보,"save_group_to_file 로그만 + 호출부 무시·GROUP_DIR 미설정 silent return(mcptt.py:704-758), FD 업로드는 try 없음 → 요청당 500 뿐(mcdata_fd.py:104-117) — cmdp fd_store 패턴 복제"
알람,CIMS-PRC-002,resource_failure,major,SUB_SVR_01,CSC,1,DB,가입자/그룹 전량 적재 실패 — 빈 캐시로 서비스(더미 데이터가 장애 은폐 중),후보(선행 필요),"DB 실패→파일 폴백→빈 맵 silent(mcptt.py:263-264, :369-370) + 더미 가입자/그룹 주입이 장애 위장(csc_app.py:243-249 — 제거 필요). 주기 재적재가 없어 close 전이 불가 — 주기 태스크 신설 선행"
알람,(신규),config_invalid,major,SUB_SVR_01,CSC,1,,인증 시크릿 미설정(IdMs.JwtSecret 프로세스별 랜덤·CimsAuth.JwtSecret 기본값) — 노드 간 토큰 검증 불가/콘솔 전면 401,후보,"apply_config/init 이 기동+SIGUSR1 마다 재평가 — 전이 훅 기성(mcptt.py:133-137). CimsAuth 쪽은 현재 로그조차 0(admin_auth.py:55-60). DB 미구성(Host 빈값)도 동일 클래스"
이벤트,-,config_reloaded,-,SUB_SVR_01,CSC,1,,설정 재적재 완료(SIGUSR1),후보,kind=stateChange. csc_app.py:127-142 — 재적재 실패 연속은 알람으로 분리
이벤트,-,csp_resync_sent,-,SUB_SVR_01,CSC,1,CSP_01,CSC 기동 시 CSP 전량 재동기 요청(CSC_RESTART) 발신,후보,kind=audit. csc_app.py:296-301 — CSP 행 csc_resync_requested 와 쌍
알람,CIMS-PRC-001,process_down,critical,SIG_SVR_01,AGENT,1,MODULE,모듈 프로세스 소멸(module) — 해당 모듈 기능 중단,구현,"agent 실행집합(pgrep) 2s 관측 metric → OAM base 평가(check=module_down). 배포 기록에 있는 모듈만 평가. 모듈마다 개별 발화(mo=<host>/<module>)"
알람,CIMS-QOS-001,threshold_crossed,minor~critical(단계),SIG_SVR_01,AGENT,1,,루트(/) 디스크 사용률 단계 임계(80/90/95),구현,"disk_pct metric → OAM base 평가(check=disk_high). 승격/완화 action=change. 한계: 루트 외 마운트는 mounts[] 로 수집·저장만 되고 평가 규칙 없음(후보 행)"
알람,CIMS-PRC-003,config_out_of_sync,warning,SIG_SVR_01,AGENT,1,MODULE,모듈 노드 설정 파일이 배포 기록과 불일치(드리프트),구현,"cfg_hashes(실파일 hash) vs 배포 실체화본 canonical hash — OAM base 평가(check=config_drift). 모듈마다 개별 발화(mo=<host>/<module>/config)"
알람,CIMS-QOS-001,threshold_crossed,warning,SIG_SVR_01,AGENT,1,,keepalived 상태 전이 빈도 임계(기본 6회/10분) — VIP flap 의심,구현,"cims-notify 로그 tail 10분 집계(metric.ha_transitions) → OAM base 평가(check=ha_flap). 개별 전이 건의 이벤트화는 후보(ha_role_changed)"
이벤트,-,process_died,-,SIG_SVR_01,AGENT,1,MODULE,모듈 프로세스 소멸 전이 관측(SIGKILL 등 자기보고 유실 보완),구현,kind=stateChange. metric 동반 module_events → OAM event_log 기록(agent_api.py:862)
알람,(신규),failover_latched,major,SIG_SVR_01,AGENT,1,,절체 래치 — 이 노드 승격 영구 불가(운영자 해제 전까지),후보,"래치 판정·영속 기성(state/ha/latch), heartbeat ha_state.latched 로 OAM 전달 중 — 현재 콘솔 배지뿐(ServersPage). heartbeat 기반 평가 규칙 신설. 이중화 사실상 소실 상태가 무알람인 최대 공백 중 하나"
알람,(신규),crash_loop,major,SIG_SVR_01,AGENT,1,MODULE,모듈 재기동 반복 소진(restart_exhausted) — 불안정 지속,후보,"window(300s) 내 max_fails(3) 판정 기성(fail 카운터 → reason_codes) — PRC-001 의 open/close 반복으로는 불안정이 알람으로 표현되지 않음. metric 필드 + rule 신설"
알람,CIMS-QOS-001,threshold_crossed,minor~critical(단계),SIG_SVR_01,AGENT,1,,루트 외 마운트(녹취/로그/NAS 볼륨) 사용률 임계,후보,"mounts[].pct 수집·저장 완비(agent_api.py:842) — rule 1건 추가만(mo=<host>/disk/<mount>). 현행 disk_high 는 루트만 봄"
알람,CIMS-QOS-001,threshold_crossed,minor~critical(단계),SIG_SVR_01,AGENT,1,,호스트 CPU/메모리 사용률 임계,후보,"cpu_pct/mem_pct 수집·저장 완비 — rule 추가만(표준화 §3.5 '새 리소스 = rule 만 추가'). mem 은 OOM 선행 지표(실측: csc OOM 사망이 무알람이었음)"
알람,(신규),readiness_failed,major,SIG_SVR_01,AGENT,1,MODULE,모듈 생존+응답 불능(zombie) — 노드 로컬 readiness 실패 지속,후보,"agent health check(liveness/readiness/HTTP probe) 결과가 HA verdict 로만 소비(run/ha/health) — metric 요약 필드 + rule 신설. L1(생존)·L3(원격 probe)가 못 나누는 사각의 노드 로컬 정본"
알람,(신규),shared_store_unavailable,major,SIG_SVR_01,AGENT,1,,공유 store(NAS) 마운트/쓰기 불가 — HA 승격 부적격 유발,후보,"write probe 기성(_shared_store_ready — not_mounted/not_writable) — metric 필드 + rule 신설. 양 노드 동시 부적격 = VIP 공백인데 현재 무알람"
이벤트,-,ha_role_changed,-,SIG_SVR_01,AGENT,1,,"HA 역할 전이(svc, from, to)",후보,"kind=stateChange. prev→cur 전이 감지 기성(cims_agent.py:3167-3189) — module_events 의 node_events 일반화 선행. 절체 사후분석 기본 이력(현재 notify 로그를 ssh 로 봐야 함)"
이벤트,-,module_restarted,-,SIG_SVR_01,AGENT,1,MODULE,watchdog/HA reconcile 에 의한 모듈 자동 재기동,후보,"kind=stateChange. 재기동 지점 훅 기성(cims_agent.py:4214-4218, :3627-3635) — 현재 print 만. process_died 만 있고 '누가 살렸는지' 이력 부재"
이벤트,-,deployment_failed,-,SIG_SVR_01,AGENT,1,MODULE,"배포/업그레이드 실패·자동 롤백(rc, sha 불일치, rolled_back)",후보,"kind=audit. install rc 1~6·self-upgrade 자동 롤백이 job 레코드에만 저장(2일 후 purge) — event_log 미기록. 발행은 job report 수신부(OAM)가 더 적절할 수 있음"
알람,CIMS-PRC-004,service_unresponsive,major,MGMT_SVR_01,OAM-SVC,1,CSP_01,CSP 관리 프로브(STATS) 무응답 — 제어/관측 불가,구현,"UDP STATS probe(check=service_unresponsive, target=csp, mo=cims/csp). --role all 단일 프로세스에선 base 대행(detected_by=oam). 한계: CspNotify 미설정 시 기본 127.0.0.1 로 probe — 미배포 노드에서 영구 오탐"
알람,CIMS-PRC-004,service_unresponsive,major,MGMT_SVR_01,OAM-SVC,1,CMP_01,CMP 관리 프로브(STATS) 무응답,구현,"CMP endpoint 마다 개별 발화(mo=cims/cmp/<ip:port>). endpoint 목록 공집합이면 평가 skip + 기존 열린 알람 stale reap close — 관측 공백 행 참조"
알람,CIMS-COM-001,connection_lost,critical,MGMT_SVR_01,OAM-SVC,1,DB,서비스 DB 연결 끊김(cims/db),구현,"DB SELECT 1 probe(check=db_down). 모듈 관점 DB 알람(cims/<mod>/<node>/db, detected_by=self)과 별개 관측"
알람,CIMS-QOS-001,threshold_crossed,minor~critical(단계),MGMT_SVR_01,OAM-SVC,1,CMP_01,RTP 포트 사용률 단계 임계(80/90/95),구현,"CMP STATS 응답 기반(check=rtp_pct_gte, mo=cims/rtp_ports). 완전 고갈 자기보고(CMP QOS-002)와 역할 분담"
알람,(신규),ingest_inoperative,major,MGMT_SVR_01,OAM-SVC,1,,FM 수신 채널 불능(기동 실패·수신 스레드 사망) — 전 모듈 자기보고 침묵,후보,"start() 예외 시 ingest 없이 정상 기동(log_error 뿐 — oam_svc_app.py:320-325), 소켓 OSError 시 스레드 조용히 종료(fm_ingest.py:128-146). 자기 상태라 health 필드 + 자체 발화 경로 병행 필요"
알람,(신규),catalog_mismatch,warning,MGMT_SVR_01,OAM-SVC,1,,모듈 자기보고 무력화(빈 카탈로그 등록·UNKNOWN_CODE 거절 반복) — 해당 노드 자기보고 알람 전량 거부,후보,"빈 카탈로그도 정상 수용되고 이후 FM_ALARM 전량 UNKNOWN_CODE 거절 — 카운터/로그 0(fm_ingest.py:214-216). 노드별 거절 누적 임계 전이. 배포 버전 스큐의 전형 신호"
알람,(신규),monitoring_disabled,warning,MGMT_SVR_01,OAM-SVC,1,CMP,관측 대상 공백(CMP endpoint 미설정) — CMP 관측 통째 비활성,후보,"MediaServer.Endpoints 공집합이면 rtp/PRC-004 평가 skip + 열린 cims/cmp/* 를 stale reap close(alarm_sweeper.py:228-291) — 설정 소실이 '알람 정리'로 위장. 기동 경고(oam_svc_app.py:171-177)도 MediaServer 는 제외돼 있음"
알람,CIMS-PRC-003,config_out_of_sync,warning,MGMT_SVR_01,OAM,1,,HA fan-out 설정 드리프트(그룹 멤버 컬렉션 불일치),구현,"drift_sweeper 300s — 멤버 컬렉션 대조(mo=cims/ha/g<gid>/<collection>). 판정 불가 3연속 close·재도출(reseed)·고아 reap lifecycle 내장"
이벤트,-,service_control,-,MGMT_SVR_01,OAM,1,,"서비스 제어 감사(actor, ip, service, action)",구현,kind=audit. 콘솔/API start·stop·restart 시 기록(service_control.py:49)
알람,(신규),agent_unreachable,critical,MGMT_SVR_01,OAM,1,AGENT,agent 관측 두절(heartbeat/metric 미수신) — 해당 노드 전체 관측 공백,후보,"현행은 8s 무heartbeat 시 offline 마킹뿐 + 그 노드 agent 계열 열린 알람을 '관측 불가'로 전부 자동 close(oam_app.py:1336-1345) — 노드 사망이 '전 알람 해소'로 보이는 침묵 실패(실측: csc OOM 사망 무알람). 알람 신설 + auto-close 를 판정 불가 의미로 재정의"
알람,(신규),store_ownership_lost,critical,MGMT_SVR_01,OAM,1,,관리 store 소유권 리스 상실/획득 실패/펜싱(epoch_fenced) — read-only 강등·스위퍼 전체 정지,후보,"획득 실패 read-only 기동은 log_error 뿐(oam_app.py:625-636), 런타임 상실 감지·재획득 루프는 기성(lease.py, oam_app.py:1559-1578) — 상실 중 전 알람 판정이 정지하므로 이 알람 없이는 '알람 없음 = 감지 불능'. locking_not_enforced(FS flock no-op)도 동일 클래스"
알람,(신규),store_unavailable,critical,MGMT_SVR_01,OAM,1,,공유 스토리지(NAS) 런타임 접근 실패,후보(선행 필요),"기동 시 1회 검사뿐(_assert_runtime_mount, oam_app.py:95-160) — 런타임 소실은 리스 owner_record_missing 으로만 간접 발현. 주기 write probe 신설 선행"
알람,CIMS-PRC-002,resource_failure,major,MGMT_SVR_01,OAM,1,,스위퍼/자기 기록 연속 실패 — 해당 판정 영구 정지,후보,"10개 sweeper 의 except 가 log_error 후 다음 주기 재시도 — 연속 실패 카운터 없음. alert JSONL 쓰기 실패 시 transition 이 state 를 먼저 갱신해 open 레코드 유실(alarm_sweeper.py:137-143 순서 결함). 자기 스트림 불능 시 health 경로 병행 필요"
