기능,행,구분,code,type,severity,source_system,instance,index,대상,component,조건/내용,message,영향,권장 조치,근거,현재 구현 여부,감지 방식 설명
공통,정의,알람,A-QOS-001,threshold_crossed,minor~critical(단계),,,,,host/<res>,호스트 자원(CPU/MEM/DISK/load) 사용률 단계 임계,"{resource} usage is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",추가 부하 시 처리 실패·OOM/디스크 고갈 위험,원인 프로세스 식별·정리/증설·보존기간 조정(디스크),vIBCF A0012~14,,
,감지,알람,A-QOS-001,threshold_crossed,minor~critical(단계),MED_SVR_01,CMDP,1,,fd_store/disk,FD 스토어 파티션 용량 단계 임계,,,,,후보(선행 필요),statvfs 검사 없음 — McDataFd.Dir 는 CSC 와 공유하는 NAS 경로라 host disk metric(agent QOS-001)이 미커버. 소진 개연성 근거: 메시지당 .bin+.msrp 이중 기록(PFdStore.cpp:70-83)·rename 실패 시 .tmp/.bin/.msrp 잔존(:103-115)·GC/retention 전무(unlink 0건 — PLog 회전만 존재). QOS-002 에서 재분류 — 단계 용량 임계는 threshold_crossed 클래스
,감지,알람,A-QOS-001,threshold_crossed,minor~critical(단계),SIG_SVR_01,AGENT,1,,disk,루트(/) 디스크 사용률 단계 임계(80/90/95),,,,,구현,disk_pct metric(shutil.disk_usage) → OAM base 평가(check=disk_high). 승격/완화 action=change. 한계: 루트 외 마운트는 별도 행 — /dev/ 필터라 NFS/CIFS 는 수집 자체 안 됨(disk/<mount> 행 참조)
,감지,알람,A-QOS-001,threshold_crossed,minor~critical(단계),SIG_SVR_01,AGENT,1,,disk/<mount>,루트 외 마운트(녹취/로그/NAS 볼륨) 사용률 임계,,,,,후보,로컬(/dev/) 마운트는 mounts[].pct 수집·저장 완비(agent_api.py:842) — rule 추가(mo=<host>/disk/<mount>). 단 NFS/CIFS 는 collect_per_mount 의 /dev/ 필터(cims_agent.py:602-604)로 수집 자체 제외 — NAS 는 수집 확장 선행(heartbeat mount_targets[] 는 사용률 필드 없음). 구 서술 'rule 만 추가'는 로컬 한정
,감지,알람,A-QOS-001,threshold_crossed,minor~critical(단계),SIG_SVR_01,AGENT,1,,cpu|mem,호스트 CPU/메모리 사용률 임계,,,,,후보,cpu_pct/mem_pct 수집·저장 완비 — rule 추가만(표준화 §3.5 '새 리소스 = rule 만 추가'). mem 은 OOM 선행 지표(실측: csc OOM 사망이 무알람이었음)
,감지,알람,A-QOS-001,threshold_crossed,minor,SIG_SVR_01,AGENT,1,,load,호스트 load average(run-queue) 임계,,,,,후보,"load_avg 수집·화이트리스트 저장 완비(cims_agent.py:754-757, agent_api.py:838) — rule 추가만. cpu_pct 와 별개 조건(I/O wait 포화 포착)"
공통,정의,알람,A-QOS-003,threshold_crossed,minor~major(단계),,,,,ntp,NTP offset/delay 단계 임계 초과(동기는 유지),"NTP {metric} is {observed}ms (MAJ:{maj}, MIN:{min})",시각 정밀도 열화 — 알람 시각·CDR·녹취·로그 상관 왜곡 진행,NTP 서버 연동/네트워크 지연 확인·시각원 점검,vIBCF A0041~42,,
,감지,알람,A-QOS-003,threshold_crossed,minor~major(단계),SIG_SVR_01,AGENT,1,,ntp,NTP offset/delay 단계 임계 초과(동기는 유지),,,,,후보(선행 필요),검사 코드 자체가 없음 — chrony/ntpq 조회 metric 필드 + rule 신설 선행. 사내 vIBCF/TrGW POD 가 NTP 3클래스(A0041~A0043 Delay/Offset/Status)로 운영할 만큼 실운영 가치 검증(표준화 §7.2 대조) — CIMS 는 임계(A0041~42)=threshold_crossed·동기 상실(A0043)=connection_lost 2행 분리(정의 A-QOS-003/A-COM-014). 시각 어긋남은 알람 raised_time·CDR·녹취 세그먼트 정합 전제라 관측 가치 높음
공통,정의,알람,A-COM-014,connection_lost,major,,,,NTP,ntp,NTP 시각원 동기 상실(unsynchronized·시각원 도달 불가),"NTP synchronization lost (source {server}, {detail})",시각 표류 진행 — 알람 시각·CDR·녹취·로그 상관의 정합 붕괴,NTP 데몬/서버 연동 상태 확인·시각원 점검,vIBCF A0043 / X.733(lossOfSynchronisation),,
,감지,알람,A-COM-014,connection_lost,major,SIG_SVR_01,AGENT,1,NTP,ntp,NTP 시각원 동기 상실(unsynchronized·시각원 도달 불가),,,,,후보(선행 필요),검사 코드 자체가 없음 — chrony/ntpq 동기 상태(stratum·sync source) 조회 신설 선행(위 임계 행과 같은 수집기 공유). 임계 초과가 아닌 시각원 상실이라는 상태 조건 — vIBCF A0043 Status·X.733 lossOfSynchronisation 대응(정의 A-COM-014)
공통,정의,알람,A-PRC-006,storage_failure,major,,,,,service_log,서비스 로그(flow/msg) 기록 실패 지속,"Service log writes failing on {path} ({errno}, {count} consecutive)",호 추적/장애 분석 불가(무성 유실),로그 볼륨/권한/마운트 확인,X.733,,
,감지,알람,A-PRC-006,storage_failure,major,SIG_SVR_01,CSP,1,,service_log,flow/SIP 로그 파일 쓰기 실패 — 배치 전량 폐기(호 추적 불가),,,,,후보,"writer 배치 fopen 실패 continue + fwrite 반환 미검사(SipMessageLogger.cpp:720-723), 지속 flow 핸들 open 실패 NULL 반환만(:558-565). 큐 상한 20만 초과 drop 카운터 m_ulDroppedLogs(:695-699) 소비자 0 — params 병합"
,감지,알람,A-PRC-006,storage_failure,major,MED_SVR_01,CMP,1,,service_log,flow/msg 로그 파일 쓰기 실패 — 배치 전량 폐기(호 추적 불가),,,,,후보,writer 배치 fopen 실패 시 무로그 폐기 continue(:2347-2348) + fwrite/fclose 반환 미검사(:2349-2350). 동반 결함: writeMsgLine 에만 _serviceLogDir 빈값 가드 누락(:2171 — logFlow :2206·writeLeakReclaim :2279 은 있음) → 빈 dir 시 루트 절대경로 생성 시도·영구 실패 루프. 큐 drop 은 log_queue 행으로 분리
,감지,알람,A-PRC-006,storage_failure,major,MED_SVR_01,CMDP,1,,service_log,서비스 로그(flow/msg) 배치 쓰기 실패,,,,,후보,"fopen 실패 continue 무로그 + fwrite 미검사(PCmdpServer.cpp:1198-1200) + fclose 반환 미검사(:1202 — NFS write-back 실패 미탐), 버킷 mkdirP 반환 무시(:1089), _currentHourDir 빈값 시 writeMsgLine/logFlow 조용히 return(:1059·:1064·:1114-1115). 큐 drop 은 log_queue 행으로 분리"
,감지,알람,A-PRC-006,storage_failure,major,SUB_SVR_01,CSC,1,,service_log,service_log(flow/msg) 쓰기 실패 — 완전 silent,,,,,후보,_flush_batch 가 except pass(logger.py:57-68) — writer 단일 지점 연속 실패 전이. 큐 drop 은 log_queue 행으로 분리
공통,정의,알람,A-PRC-007,config_invalid,major,,,,,config,설정 결함·미설정·참조 무결성 위반으로 기능 비활성/오동작,Invalid configuration {key}: {detail} — function disabled or misbehaving,일부 기능이 조용히 꺼진 채 운영,설정 정본 대조·재적재/재기동,X.733,,
,감지,알람,A-PRC-007,config_invalid,minor,SIG_SVR_01,CSP,1,,config,설정 참조 무결성 위반 N건 — 해당 route/service/policy 영구 비활성,,,,,후보,"jsonl reload 시 dangling reference 집계 전이(CspRouteMap.cpp:98-117, CspRouteSetMap/CspServiceMap/CspRuleEvaluator/CspAclPolicyEngine/CspLocalNodeMap/CspRemoteNodeMap + floor_policy 강등 CmpClient.cpp:46-62). jsonl 라인 파싱 실패 건수(CspConfigCache.cpp:90-93)도 params 병합. 위반 0건이면 close"
,감지,알람,A-PRC-007,config_invalid,major,SIG_SVR_01,CSP,1,,config/collections,reload 후 설정 컬렉션 전량 소실(N→0건) — listeners/routes/policies 무통보 소거,,,,,후보,"jsonl 파일 부재를 정상 빈 배열로 취급(CspConfigCache.cpp:75-85 source=jsonl-empty) + reload 경로에 sanity 게이트 없음(CspServer.cpp:442-465 — 기동 시 local_nodes fail-fast 는 :152-157 뿐, 런타임엔 없음). 엔티티별 건수 >0→0 전이 open / 회복 close"
,감지,알람,A-PRC-007,config_invalid,major,MED_SVR_01,CMP,1,,config/timers,SessionTimeout<=0 — floor 타이머·sweeper·이벤트 재전송 전체 무통보 정지,,,,,후보,타이머 스레드가 _sessionTimeout>0 일 때만 기동(:122) — timeoutLoop(:1954)이 단독 구동하는 ①floor 타이머 tick(:1964-1969 T1/T2/T3/T8/T20 — 발언 종료 미회수·화자 고착) ②미ack 이벤트 재전송(:1972) ③orphan/group sweeper(:1975-2077)가 전부 정지. 기동 1회 판정(sticky). config_invalid 중 영향 최대라 별행
,감지,알람,A-PRC-007,config_invalid,minor,MED_SVR_01,CMP,1,,config,설정 오류로 기능 비활성(ServiceLogDir 미설정 → flow/호이력 로깅 전면 꺼짐 등),,,,,후보,기동 시 1회 판정(런타임 재적재 경로 없음 — sticky). JSON 파싱 실패 시 전 항목 기본값 조용히 진행도 동일 클래스. 동반 결함(수정 선행): 배포 overlay 가 첫 파싱 패스에만 적용(:1587-1613)되고 Record*/ServiceLogging.*/SystemId/Fm.* 는 원본 재파싱(:1692-1697 root2) — 배포본 config.json 의 해당 키 전부 무시(Fm.Enable/OamIp 무시 시 자기보고 전체 미기동)
,감지,알람,A-PRC-007,config_invalid,warning,MED_SVR_01,CMP,1,,nat_guard,NAT 멤버 sig-guard IP 부재 — latch IP 가드 무력화 상태 지속,,,,,후보,CSP UserMap 미조회 시 LOG_WARN 만(PMcpttGroup.cpp:198-200) — 보안 가드가 조용히 약화된 채 세션 내내 지속. 가드 비활성 멤버 수 >0 전이
,감지,알람,A-PRC-007,config_invalid,minor,MED_SVR_01,CMDP,1,,config,설정 무결성 위반(deployment overlay 미적용·MsrpIp 미설정 loopback 광고 등),,,,,후보,기동 시 1회 판정(설정 재적재 경로 없음 — sticky). 지점: overlay 열기/파싱 실패 무로그 break(PCmdpServer.cpp:947-955)·MsrpIp 미설정 시 127.0.0.1 광고(:975 → 전 세션 orphan)·설정 파일 열기 실패 시 전 항목 기본값으로 기동(:926-930)·Fm.Enable 문자열 비교(boolean 설정 시 자기보고 무음 :1009)·MsrpWorkerCount 범위 밖 무로그 무시(:971-974)
,감지,알람,A-PRC-007,config_invalid,major,SUB_SVR_01,CSC,1,,config/auth,인증 시크릿 미설정(IdMs.JwtSecret 프로세스별 랜덤·CimsAuth.JwtSecret 기본값) — 노드 간 토큰 검증 불가/콘솔 전면 401,,,,,후보,SIGUSR1 재적재 시 재평가 훅 기성(mcptt.py:133-137). 기동 시 평가는 'Data' in config 일 때만(csc_app.py:235-240) — 게이트 제거 선행(config/data 행). CimsAuth 쪽은 현재 로그조차 0(admin_auth.py:55-60). KMS_MASTER_SECRET(mcptt.py:30)은 설정 항목 자체가 없어 재기동마다 랜덤 — 코드 수정 선행
,감지,알람,A-PRC-007,config_invalid,major,SUB_SVR_01,CSC,1,,config/data,Data 섹션 부재 — apply_config/load_shared_data 미실행(설정 전면 미적용),,,,,후보,"csc_app.py:235-240 — 'Data' in config 게이트 안이라 Data 없는 overlay 배포에서 기동 시 한 번도 실행 안 됨. 동시 발생 4연쇄(전부 무통보): SECRET_KEY 프로세스 랜덤 유지(경고 로그도 미출력)·CSP/PSP notify 기본 127.0.0.1 고착·_DB_CONFIG None → /provisioning/me·directory 영구 503(mcptt.py:1771-1772, :1843-1844)+refresh_group_members 무조건 False(:408-409)·GROUP_DIR None → 그룹 파일 저장/삭제 silent no-op(:704-706, :746-748)"
,감지,알람,A-PRC-007,config_invalid,minor,SUB_SVR_01,CSC,1,,config/logging,ServiceLogging.Dir 미설정 — 서비스 로그 전면 미기록 + 스토어 경로 CWD 오염,,,,,후보,"logger 가 dir 빈값이면 무조건 return(logger.py:234-236) — flow/msg 전량 무기록·로그 0줄 완전 침묵(csc_app.py:145-157 legacy 키 폴백 전부 빈 경우). 연쇄: 같은 값이 file_store.runtime_root 시드(file_store.py:44-51 — CimsRuntimeDir 는 config_template 에 항목 자체 없음) → IdMS 스토어 경로가 CWD 상대로 이동, 재기동 CWD 변경 시 토큰 전량 유실. 기동+SIGUSR1 재평가로 전이 자연. CMP config 행과 동일 클래스"
,감지,알람,A-PRC-007,config_invalid,minor,SUB_SVR_01,CSC,1,,config/notify,CSP/PSP notify 목적지 미설정(기본 127.0.0.1) — 통지가 조용히 버려지는 설정 상태,,,,,후보,config_template 의 CspNotify.Ip/PspNotify.Ip default 빈값 + apply_config 가 빈값이면 대입 skip(mcptt.py:155-158) → 모듈 기본 127.0.0.1 유지(help 자체가 '조용히 버려진다' 명시). 무트래픽에도 즉시 판정 가능한 설정 축 — notify/<target> 행(트래픽 구동 런타임 축)과 상보
,감지,알람,A-PRC-007,config_invalid,minor,SUB_SVR_01,CSC,1,DB,db/schema,DB 스키마 마이그레이션 미적용(schema drift) — 기능 무통보 축소,,,,,후보,"_users_has_title probe(mcptt.py:109-115)·ptt_user_profile 조회 실패 pre-migration INFO 후 스킵(:225-241 → get_user_profile 전 가입자 DEFAULT 강등 :983-985)·admin except pass(admin.py:149-161, :300-301). 기동/재적재 시 필수 컬럼·테이블 존재 검사 N건 집계 전이(CSP config 무결성과 동형). db/query(런타임 실패율)가 못 잡는 결정론 구간"
,감지,알람,A-PRC-007,config_invalid,warning,SIG_SVR_01,AGENT,1,MODULE,config/parse,모듈 config.json 파싱 실패 — 드리프트 평가 무통보 제외,,,,,후보,_cfg_hash_for_module 이 json.load 예외 시 None 반환(cims_agent.py:739-743) → 보고 생략 → OAM 도 skip(oam_app.py:1253-1254) — 깨진 설정이 PRC-003 무알람 통과. hash 필드에 parse_error 마커 보고 + rule 신설
,감지,알람,A-PRC-007,config_invalid,major,MGMT_SVR_01,OAM,1,,config/store,관리 store 로컬 폴백 기동 — 관리평면 이중화 소실 상태,,,,,후보,미마운트인데 로컬 store 로 기동(oam_app.py:143-154 — 메시지 자체가 '이중화되지 않습니다'). 기동 1회 판정(sticky). storage_failure(store — 런타임 소실)와 별개 축
,감지,알람,A-PRC-007,config_invalid,major,MGMT_SVR_01,OAM,1,,config/auth,JwtSecret 노드 로컬 생성 — 피어 노드 토큰 검증 불가,,,,,후보,신규 생성 시 '피어 노드에서 검증되지 않습니다' print 뿐(oam_app.py:79-92). CSC 동일 클래스 행과 쌍(OAM 축 부재였음). 기동 1회 판정
,감지,알람,A-PRC-007,config_invalid,warning,MGMT_SVR_01,OAM,1,,config/tls,TLS 비활성 기동(cert 미발견+self-signed 생성 실패) — agent health-gate·게이트웨이 https 전면 붕괴,,,,,후보,"log_info('SSL Disabled') 1줄(oam_app.py:853-856, 생성 실패 :355-378). 기동 1회 판정(sticky)"
공통,정의,알람,A-PRC-003,config_out_of_sync,warning,,,,,config,배포 정본 대비 실행 설정 드리프트,"Running config drifted from deployment baseline (expected {expected}, actual {actual})",의도치 않은 동작·절체/재기동 시 동작 변화,드리프트 원인 확인 후 재실체화 또는 정본 갱신,3GPP 32.111,,
,감지,알람,A-PRC-003,config_out_of_sync,warning,SIG_SVR_01,AGENT,1,MODULE,config,모듈 노드 설정 파일이 배포 기록과 불일치(드리프트),,,,,구현,cfg_hashes(실파일 hash) vs 배포 실체화본 canonical hash — OAM base 평가(check=config_drift). 모듈마다 개별 발화(mo=<host>/<module>/config). 한계: config.json 파싱 실패 시 hash None → 보고 생략(cims_agent.py:739-743) + OAM 도 skip(oam_app.py:1253-1254) — 깨진 설정이 무알람 통과(config/parse 행 참조)
,감지,알람,A-PRC-003,config_out_of_sync,major,SIG_SVR_01,AGENT,1,,net/managed,managed 서비스 IP/route·RPS 소실 — desired 대비 drift(부팅 후 무감지),,,,,후보,"desired 스냅샷 기성(_snapshot_managed_ips :2232-2243·_snapshot_net_tuning :2321-2328) vs collect_interfaces 실측 — 재적용이 부팅 1회뿐(:2245-2269), 이후 소실은 감지·복구·보고 전무. config_drift 와 동일 구조로 판정 즉시 가능. sysfs RPS 는 재부팅 소실"
,감지,알람,A-PRC-003,config_out_of_sync,warning,MGMT_SVR_01,OAM,1,,config/<collection>,HA fan-out 설정 드리프트(그룹 멤버 컬렉션 불일치),,,,,구현,drift_sweeper 300s — 멤버 컬렉션 대조(mo=<그룹명>/config/<collection>). 판정 불가 3연속 close·재도출(reseed)·고아 reap lifecycle 내장
,감지,알람,A-PRC-003,config_out_of_sync,warning,MGMT_SVR_01,OAM,1,,<서버명>/agent,agent 가 VIP 아닌 주소로 OAM 보고(fleet misdirect) — 절체 시 전 fleet 단절,,,,,구현,OAM base 평가(check=oam_url_misdirect). agent heartbeat 의 oam_url vs 그룹 VIP. **VIP 를 실제로 보유한 멤버가 관측된 뒤에만** 판정한다(_agents_not_on_vip) — 개시 전에는 전 agent 가 노드 IP 로 보고하는 것이 정상이라 그때 잡으면 설치 직후부터 상시 경고가 되어 신호가 무의미하다(옛 콘솔 배너가 그 상태였다). 판정 대상은 oam 을 호스팅하는 AS 그룹만(다른 그룹 VIP 와 비교하면 전원 어긋남). agent 별 open/close 라 한 대씩 고치면 그 대상만 닫힌다. 절체 자체는 정상 동작하므로(HA 판정은 노드 로컬) 잃는 것은 관리 가시성. 절체 preflight 의 409 agents_not_on_vip 가드는 별개로 유지.
,감지,알람,A-PRC-003,config_out_of_sync,major,MGMT_SVR_01,OAM,1,,config/<collection>,HA fan-out 전파 실패(sync_txn failed) — 멤버 설정 미반영,,,,,후보,"nack/timeout → status=failed 인데 소비처 log_info 뿐(sync_txn.py:159-190, oam_app.py:1366-1373). 최근 창 failed 존재 open / 전 txn success close. PRC-003 drift(결과 관측)의 전 단계 조기 신호 — code 는 PRC-003 재사용(전파 실패 = 불일치 조건의 원인 축)"
,감지,알람,A-PRC-003,config_out_of_sync,warning,MGMT_SVR_01,OAM,1,,config/<collection>,버전 불일치로 auto-sync 영구 보류(deferred),,,,,후보,"deferred 를 log_info 로만 남기고 매 주기 반복(oam_app.py:1463-1466, handlers/agents.py:2950-2951·:2967). deferred 비지 않음 N회 연속 open(warning) / 정합 성공 close"
공통,정의,알람,A-PRC-008,redundancy_degraded,major~critical,,,,,ha,이중화 실질 소실(승격 불가·VIP 무보유/이중보유·절체 래치·절체 메커니즘 이상),Redundancy degraded: {reason} (no eligible standby / VIP not held or duplicated / failover latched),단일 장애점 상태 — 다음 장애 시 서비스 단절,부적격 사유 해소·VIP/절체 데몬 점검·래치 해제,vIBCF A0063 / X.733,,
,감지,알람,A-PRC-008,redundancy_degraded,major,SIG_SVR_01,AGENT,1,,ha/latch,절체 래치 — 이 노드 승격 영구 불가(운영자 해제 전까지),,,,,후보,"래치 판정·영속 기성(state/ha/latch/<svc>.json — 파일 존재가 정본, 설정 :3325·해제 3경로 :3156/:4315), heartbeat ha_state.latched 로 OAM 전달 중 — 현재 콘솔 배지뿐(ServersPage:2132). heartbeat 기반 평가 규칙 신설. 선행: latched_at/latch_reasons 가 heartbeat 에 안 실림(latched bool 만 :2390) — 메시지에 언제·왜가 못 들어감"
,감지,알람,A-PRC-008,redundancy_degraded,major,SIG_SVR_01,AGENT,1,,ha/eligible/<svc>,STANDBY_INELIGIBLE — 대기 노드 승격 불가(이중화 실질 소실),,,,,후보,"hot readiness+cold preflight+store 3중 판정 기성(cims_agent.py:3245-3256) → ha_state[svc].eligible/state 가 heartbeat 로 이미 도달(agent_api.py:538-541). 평가 규칙 추가만. 콘솔 배지도 latched 만 있어 latch 보다 더 조용한 공백. MAINTENANCE 잔존(EXCLUDE_NODE 해제 망각 — state/ha/maintenance/<svc> 영속·TTL 없음 :3132-3137, planned_release 는 TTL 180s 자가치유 :3110-3130)·start_failed(한 번도 ready 안 됨 :3308-3321 — crash_loop 미커버)도 같은 행의 reason 구분"
,감지,알람,A-PRC-008,redundancy_degraded,critical,SIG_SVR_01,AGENT,1,,ha/keepalived,HA 무장인데 keepalived 미설치/비활성 — VIP 주인 부재(cold 모듈 전 노드 미기동),,,,,후보,"_ha_armed(:3697-3702)+_keepalived_installed(dpkg-query :3687-3693) 판정 기성 — 60s 재설치 루프가 300s 스로틀 print 만(:3716-3738, 실측 사고 주석 :3674-3681). heartbeat 필드 + rule 신설. keepalived 서비스 비활성/VIP 미보유(_health_check_ha :839-888 — on-demand 만)·stale MASTER(role=MASTER 인데 VIP 미보유 → 무로그 BACKUP 재판정 :3062-3063, dual-active 직전)·HA 판정 얼림(CIMS_HA_DISABLE :2608-2623 — 자동 절체 전면 정지가 OAM 에 안 보임) 을 reason 구분으로 포함"
,감지,알람,A-PRC-008,redundancy_degraded,critical,MGMT_SVR_01,OAM,1,,store/lease,관리 store 소유권 리스 상실/획득 실패/펜싱(epoch_fenced) — read-only 강등·agent 계열 판정 정지,,,,,후보,"획득 실패 read-only 기동은 log_error 뿐(oam_app.py:625-636), 런타임 상실 감지·재획득 루프 기성(lease.py, oam_app.py:1559-1578 — 게이트가 10개 sweeper 전부 continue). 정지 범위는 base 한정 — oam-svc 서비스 알람(PRC-004/COM-001/QOS-001)은 리스 게이트가 없어 계속 발화(구 서술 '전 알람 판정 정지' 정정). 상실 중 무알람 = 감지 불능 위장. read-only 로그 60s 1줄"
,감지,알람,A-PRC-008,redundancy_degraded,critical,MGMT_SVR_01,OAM,1,,ha/g<gid>/vip,VIP 무보유/이중보유 — 서비스 주소 부재 또는 split-brain,,,,,후보,"holders 계산 기성(ha_lookup.py:79-113 — 0명·2명을 전부 active=None 으로 뭉갬, 호출 oam_app.py:1442-1450 60s 주기라 스위퍼 추가 불요). len(holders)==0 N회 연속 open(critical — 주소 부재) / ==2 open(major — split-brain) / ==1 close. 그룹마다 개별 발화"
,감지,알람,A-PRC-008,redundancy_degraded,major,MGMT_SVR_01,OAM,1,,ha/g<gid>/excluded,모듈이 이중화 대상에서 조용히 제외(ha_excluded) — 이중화되는 줄 아는 착시,,,,,후보,_lease_precondition_unmet 결과를 콘솔에만 노출(handlers/ha_groups.py:1355-1366 — 주석 자체가 실측 사고 언급). _excl 비어있지 않음 open / 비면 close. 모듈마다 개별 발화. AGENT redundancy_degraded(ha/eligible — 노드 자격 축)와 클래스 통일 — 이쪽은 그룹 구성 축
공통,정의,알람,A-PRC-009,cert_expiring,warning,,,,,cert,TLS/mTLS 인증서·키 자재 만료 임박/회전 실패,Certificate {name} expires in {days} days (threshold {threshold} days) or rotation failed,만료 시 접속·상호인증 전면 실패 예고,인증서 재발급/회전 경로 점검,X.509 운영 관례,,
,감지,알람,A-PRC-009,cert_expiring,warning,SIG_SVR_01,AGENT,1,,cert,agent mTLS 인증서 회전 실패 — 구 cert 로 무한 재시도(조용한 만료 진행),,,,,후보,rotate_mtls_cert 가 status≠200/필드 누락 시 print 만(:4928-4950) — OAM cert_rotate_pending 유지로 매 heartbeat 재요청 무한 루프. 실패 연속 카운터 + heartbeat 필드. OAM 측 만료 임박 관측은 OAM cert 행 — 이 행은 agent 감지 주체 축
